Date,Type,Réf. transaction,Moyen de paiement,Quantité,Description,Devise,Prix avant réduction,Réduction,Prix (TTC),Prix (HT),TVA,Taux de TVA,Compte
1 nov. 2025 10:44,Vente,TAAAYCCD7FQ,Espèces,1,Double Espresso ☕️ Standard,EUR,3.00,0.00,3.00,2.73,0.27,10 %,Club
1 nov. 2025 11:09,Vente,TAAAYCCP4E7,Visa - Débit,1,JUS DE FRUITS ORANGE 🍊,EUR,3.00,0.00,3.00,2.73,0.27,10 %,Club
1 nov. 2025 11:09,Vente,TAAAYCCP4E7,Visa - Débit,1,The vert pêche - Meneau Standard,EUR,4.00,0.00,4.00,3.64,0.36,10 %,Club
1 nov. 2025 12:00,Vente,TAAAYCDGPZR,Espèces,4,Espresso ☕️ Standard,EUR,10.00,0.00,10.00,9.09,0.91,10 %,Club
1 nov. 2025 12:00,Vente,TAAAYCDGPZR,Espèces,1,JUS DE FRUITS POMME 🍎,EUR,3.00,0.00,3.00,2.73,0.27,10 %,Club
1 nov. 2025 12:01,Vente,TAAAYCDGZ6Y,Visa - Débit,1,Café allongé Standard,EUR,3.00,0.00,3.00,2.73,0.27,10 %,Club
1 nov. 2025 12:01,Vente,TAAAYCDGZ6Y,Visa - Débit,1,Chocolat chaud,EUR,5.00,0.00,5.00,4.55,0.45,10 %,Club
1 nov. 2025 12:06,Vente,TAAAYCDK3HF,Visa - Débit,1,Espresso ☕️ Standard,EUR,2.50,0.00,2.50,2.27,0.23,10 %,Club
1 nov. 2025 12:06,Vente,TAAAYCDK3HF,Visa - Débit,1,Play Peak Play One (Peak),EUR,30.00,0.00,30.00,25.00,5.00,20 %,Club
1 nov. 2025 14:05,Vente,TAAAYCFK273,Visa - Débit,1,Play Peak Play One (Peak),EUR,30.00,0.00,30.00,25.00,5.00,20 %,Club
1 nov. 2025 14:31,Vente,TAAAYCFY7MX,Mastercard - Débit,1,Play Peak Play Half (Peak),EUR,15.00,0.00,15.00,12.50,2.50,20 %,Club
1 nov. 2025 14:37,Vente,TAAAYCF3YC9,Visa - Débit,2,Thé 🍵 Standard,EUR,9.00,0.00,9.00,8.18,0.82,10 %,Club
